school id,Enrollment,White,Black,Hispanic,Asian
09X297,471,0.4%,26.3%,72.0%,0.8%
09X517,427,2.3%,50.4%,45.4%,0.7%
09X241,619,1.1%,33.0%,64.1%,1.4%
09X227,382,0.3%,28.5%,69.1%,1.0%
09X252,402,1.2%,20.1%,75.6%,1.2%
09X525,686,0.6%,35.7%,61.7%,0.4%
09X263,375,0.8%,26.9%,70.7%,1.6%
09X413,472,0.7%,36.7%,53.4%,7.1%
09X231,608,0.5%,60.7%,36.0%,0.3%
09X412,339,1.2%,33.3%,63.1%,1.5%
09X329,336,1.2%,33.6%,60.7%,1.5%
10X225,632,0.7%,29.2%,66.6%,1.2%
10X243,599,3.0%,21.1%,72.0%,2.7%
10X439,398,1.8%,24.4%,70.9%,1.3%
10X434,416,1.9%,30.0%,65.6%,2.2%
10X437,401,2.5%,30.9%,65.1%,1.0%
10X374,487,2.1%,32.2%,61.4%,2.5%
10X438,438,2.7%,27.6%,67.8%,1.8%
12X248,326,0.3%,21.5%,74.8%,0.9%
08X332,236,0.4%,43.2%,54.7%,0.4%
08X530,325,1.2%,37.2%,60.6%,0.0%
08X269,565,0.6%,20.3%,76.9%,1.2%
12X278,170,1.8%,44.1%,52.4%,0.6%
12X271,618,0.5%,25.4%,71.0%,3.0%
12X511,355,2.0%,34.4%,60.3%,2.0%
12X682,470,0.2%,28.5%,70.4%,0.4%
12X251,358,2.0%,27.1%,69.8%,0.8%
12X372,571,2.2%,25.3%,69.4%,2.2%
12X684,501,1.2%,58.5%,37.9%,0.8%
08X293,444,7.2%,27.9%,61.0%,3.2%
08X405,1535,10.6%,23.6%,54.9%,9.2%
11X418,483,6.8%,27.3%,61.5%,3.7%
10X368,1022,3.4%,10.8%,82.8%,2.8%
10X284,426,2.6%,30.3%,64.8%,2.1%
10X213,417,1.4%,34.3%,55.9%,6.7%
10X546,428,1.6%,30.1%,67.1%,0.5%
10X477,449,5.1%,24.5%,61.0%,8.9%
10X237,583,3.3%,35.7%,56.9%,2.7%
10X141,1381,23.7%,12.3%,55.7%,7.7%
11X513,408,7.6%,9.3%,66.2%,13.7%
11X514,423,3.8%,61.9%,28.8%,3.3%
11X270,371,1.1%,63.6%,30.5%,3.2%
11X544,493,1.0%,38.1%,59.2%,0.8%
11X545,431,2.1%,29.2%,64.5%,2.3%
11X290,465,1.9%,44.7%,47.3%,4.7%
11X275,567,1.2%,34.4%,58.0%,4.9%
11X265,471,1.5%,39.9%,54.4%,3.6%
11X253,389,1.3%,45.0%,49.1%,3.3%
10X433,486,2.7%,20.4%,74.5%,1.9%
10X445,3015,22.1%,2.6%,5.5%,62.8%
10X268,461,2.0%,5.2%,85.9%,6.5%
10X549,530,2.3%,17.4%,77.2%,2.5%
10X442,430,1.2%,25.3%,70.0%,1.4%
10X696,376,50.8%,4.0%,15.2%,23.1%
10X440,2109,3.6%,31.6%,54.5%,8.6%
10X342,561,0.5%,0.0%,99.5%,0.0%
11X299,476,10.5%,33.4%,47.9%,6.5%
11X542,489,6.5%,35.6%,48.9%,5.5%
11X509,354,11.0%,11.9%,57.6%,16.7%
11X288,687,9.5%,33.8%,43.5%,11.6%
11X508,427,9.4%,28.8%,57.1%,3.0%
12X388,428,0.0%,0.0%,100.0%,0.0%
12X478,338,4.1%,21.9%,69.8%,3.8%
12X692,445,0.9%,18.0%,78.4%,1.1%
12X242,669,1.7%,22.2%,70.6%,4.2%
12X521,416,1.7%,26.2%,67.3%,2.6%
12X550,410,1.2%,8.3%,80.2%,8.0%
08X312,487,1.8%,30.0%,65.1%,2.3%
08X452,326,1.2%,32.2%,61.7%,4.0%
08X367,637,2.2%,30.9%,60.6%,5.5%
08X305,315,1.3%,26.0%,67.6%,4.4%
08X282,345,2.6%,50.1%,41.2%,3.5%
08X519,307,2.9%,25.4%,67.8%,2.0%
08X376,450,1.3%,26.2%,65.4%,6.3%
11X249,374,2.7%,51.9%,34.5%,7.5%
11X455,2058,2.2%,51.6%,42.7%,2.4%
24Q600,1553,7.3%,5.8%,74.6%,12.1%
24Q267,421,13.5%,12.6%,54.4%,15.9%
